Geography,Gender,AgeGroup,CreditScoreGroup,BalanceSegment,TenureSegment,NumOfProducts,IsActiveMember,Balance,EstimatedSalary,SalarySegment,RiskSegment,RevenueLost,Exited
Germany,Male,30-45,Medium,High Balance,Long-term Customer,2,0,116363.37,198059.16,High Salary,High Risk,0,0
Germany,Male,30-45,Medium,High Balance,Mid-term Customer,2,0,146050.97,86424.57,Medium Salary,High Risk,0,0
Germany,Male,30-45,Medium,High Balance,Long-term Customer,1,0,125561.97,164040.94,High Salary,High Risk,125561.97,1
Germany,Male,30-45,Medium,Low Balance,New Customer,1,0,98495.72,40014.76,Low Salary,Normal,98495.72,1
France,Male,30-45,Medium,High Balance,New Customer,1,1,125211.92,113410.49,High Salary,Normal,0,0
France,Male,30-45,Medium,High Balance,Mid-term Customer,1,0,127864.4,87107.57,Medium Salary,High Risk,0,0
Germany,Male,Under 30,High,Low Balance,New Customer,1,0,75888.2,45613.75,Low Salary,Normal,0,0
France,Male,46-60,Medium,Low Balance,Mid-term Customer,1,1,40685.92,46775.28,Low Salary,Normal,0,0
Germany,Male,30-45,High,High Balance,Mid-term Customer,1,0,136857,84509.57,Medium Salary,High Risk,0,0
Germany,Female,Under 30,Medium,High Balance,Long-term Customer,2,0,152328.88,126494.82,High Salary,High Risk,0,0
Spain,Male,30-45,Medium,Low Balance,New Customer,2,0,56084.69,178798.13,High Salary,Normal,0,0
Spain,Male,46-60,Medium,Low Balance,Long-term Customer,1,1,78707.16,99398.36,Medium Salary,Normal,0,0
Germany,Male,Under 30,Medium,High Balance,Mid-term Customer,1,1,109166.37,92840.67,Medium Salary,Normal,0,0
Germany,Female,30-45,High,High Balance,Mid-term Customer,2,1,169831.46,27758.36,Low Salary,Normal,0,0
Germany,Female,30-45,Medium,High Balance,New Customer,1,0,101633.04,110431.51,High Salary,High Risk,0,0
Germany,Male,30-45,High,High Balance,Long-term Customer,2,1,123180.01,196673.28,High Salary,Normal,0,0
Germany,Female,30-45,Medium,High Balance,Mid-term Customer,2,1,150725.53,113656.85,High Salary,Normal,0,0
France,Female,Under 30,Medium,Low Balance,Long-term Customer,1,0,98373.26,18203,Low Salary,Normal,0,0
Germany,Male,46-60,High,High Balance,New Customer,4,0,133745.44,28373.86,Low Salary,High Risk,133745.44,1
Spain,Female,30-45,Medium,High Balance,New Customer,1,1,163607.18,44203.55,Low Salary,Normal,0,0
Germany,Female,Under 30,Medium,High Balance,Mid-term Customer,2,1,157780.84,58426.81,Medium Salary,Normal,0,0
France,Female,Under 30,High,High Balance,New Customer,2,0,178718.19,22388,Low Salary,High Risk,0,0
Spain,Male,30-45,High,Low Balance,Mid-term Customer,1,1,77253.22,194239.63,High Salary,Normal,0,0
Germany,Female,30-45,Low,High Balance,Long-term Customer,2,0,122189.66,98301.61,Medium Salary,High Risk,0,0
France,Female,30-45,Medium,Low Balance,New Customer,2,0,96645.54,171413.66,High Salary,Normal,0,0
France,Female,30-45,Medium,Low Balance,Mid-term Customer,1,1,90307.62,159235.29,High Salary,Normal,0,0
Spain,Male,Under 30,High,High Balance,New Customer,1,0,121681.82,128643.35,High Salary,High Risk,121681.82,1
Germany,Female,Under 30,Medium,Low Balance,New Customer,2,1,81623.67,156791.36,High Salary,Normal,0,0
France,Male,30-45,High,High Balance,Mid-term Customer,2,0,118626.55,147132.46,High Salary,High Risk,0,0
Spain,Male,30-45,Medium,High Balance,Long-term Customer,1,1,176273.95,121277.78,High Salary,Normal,0,0
Spain,Male,30-45,High,High Balance,Long-term Customer,1,1,102827.44,64595.25,Medium Salary,Normal,0,0
Germany,Male,Under 30,High,Low Balance,Long-term Customer,2,1,97086.4,197276.13,High Salary,Normal,0,0
France,Male,30-45,High,Low Balance,Long-term Customer,1,0,82674.15,41970.72,Low Salary,Normal,0,0
Spain,Female,46-60,Medium,High Balance,Mid-term Customer,2,1,107073.27,30984.59,Low Salary,Normal,107073.27,1
Germany,Male,30-45,Medium,Low Balance,New Customer,1,1,88938.62,10054.53,Low Salary,Normal,0,0
Germany,Female,30-45,High,Low Balance,New Customer,1,1,99806.85,36976.52,Low Salary,Normal,0,0
Spain,Male,30-45,Medium,High Balance,Mid-term Customer,1,0,150092.8,71862.79,Medium Salary,High Risk,0,0
Germany,Male,30-45,Low,Low Balance,Long-term Customer,1,0,92833.89,99449.86,Medium Salary,Normal,92833.89,1
Germany,Male,30-45,Medium,Low Balance,New Customer,1,1,90536.81,63082.88,Medium Salary,Normal,0,0
Germany,Male,30-45,Medium,High Balance,Mid-term Customer,2,0,108055.1,27231.26,Low Salary,High Risk,0,0
France,Male,30-45,Medium,High Balance,New Customer,1,0,100238.35,86797.41,Medium Salary,High Risk,0,0
Spain,Male,30-45,Medium,High Balance,Long-term Customer,1,1,106190.55,22994.32,Low Salary,Normal,0,0
Germany,Male,Under 30,High,High Balance,Long-term Customer,2,1,154475.54,101300.94,High Salary,Normal,154475.54,1
Germany,Female,30-45,Medium,High Balance,Long-term Customer,2,1,132351.29,74169.13,Medium Salary,Normal,0,0
Germany,Female,30-45,Medium,High Balance,Mid-term Customer,1,0,167864.4,115638.29,High Salary,High Risk,0,0
Germany,Female,30-45,Medium,High Balance,Long-term Customer,1,0,107818.63,199725.39,High Salary,High Risk,107818.63,1
Germany,Male,30-45,Medium,High Balance,Mid-term Customer,2,0,185173.81,120834.48,High Salary,High Risk,0,0
France,Male,30-45,High,High Balance,Long-term Customer,2,0,129433.34,38131.77,Low Salary,High Risk,0,0
Spain,Male,30-45,Medium,High Balance,Mid-term Customer,1,0,120193.42,100130.95,High Salary,High Risk,0,0
Germany,Female,46-60,Medium,High Balance,Long-term Customer,1,1,126384.42,198129.36,High Salary,Normal,0,0
France,Male,30-45,Low,High Balance,Long-term Customer,1,0,152603.45,110265.24,High Salary,High Risk,152603.45,1
Germany,Male,46-60,Medium,High Balance,New Customer,1,0,148507.24,46824.08,Low Salary,High Risk,148507.24,1
France,Male,Under 30,High,High Balance,Long-term Customer,1,0,101827.07,167256.35,High Salary,High Risk,0,0
Germany,Female,30-45,High,High Balance,Long-term Customer,1,1,130862.43,114935.21,High Salary,Normal,0,0
France,Male,30-45,Medium,High Balance,Long-term Customer,1,1,122570.87,35608.88,Low Salary,Normal,0,0
Germany,Male,30-45,High,High Balance,Mid-term Customer,2,1,124828.46,124411.08,High Salary,Normal,0,0
Germany,Female,46-60,Medium,High Balance,Mid-term Customer,2,1,144895.05,34941.23,Low Salary,Normal,0,0
Germany,Female,30-45,Low,Low Balance,Mid-term Customer,1,1,63663.93,167784.28,High Salary,Normal,0,0
France,Male,30-45,Medium,High Balance,New Customer,1,1,133463.1,93165.34,Medium Salary,Normal,0,0
Spain,Female,46-60,Medium,High Balance,New Customer,1,0,213146.2,75161.25,Medium Salary,High Risk,213146.2,1
Spain,Female,30-45,Medium,High Balance,New Customer,2,1,129490.36,8590.83,Low Salary,Normal,129490.36,1
Germany,Male,30-45,High,High Balance,Long-term Customer,1,0,137452.09,189543.9,High Salary,High Risk,0,0
France,Female,30-45,Medium,High Balance,Mid-term Customer,1,1,125851.93,193318.33,High Salary,Normal,0,0
France,Female,30-45,Medium,Low Balance,Mid-term Customer,1,0,40915.55,126213.84,High Salary,Normal,40915.55,1
Spain,Female,Under 30,Low,High Balance,Mid-term Customer,1,1,113157.22,54141.5,Medium Salary,Normal,0,0
Spain,Female,Under 30,Medium,High Balance,Long-term Customer,2,0,138296.94,141075.51,High Salary,High Risk,0,0
France,Male,30-45,Medium,High Balance,Mid-term Customer,1,0,106967.18,24495.03,Low Salary,High Risk,0,0
France,Male,30-45,High,High Balance,Long-term Customer,1,0,120681.63,74836.34,Medium Salary,High Risk,0,0
France,Male,30-45,Medium,High Balance,New Customer,1,0,127609.59,98646.22,Medium Salary,High Risk,0,0
France,Female,60+,Medium,Low Balance,Mid-term Customer,1,1,97259.25,104719.66,High Salary,Normal,0,0
Germany,Female,30-45,Medium,High Balance,Mid-term Customer,1,0,123246.7,112687.57,High Salary,High Risk,0,0
Spain,Female,Under 30,High,High Balance,Mid-term Customer,1,1,101060.25,84699.56,Medium Salary,Normal,0,0
France,Female,46-60,High,High Balance,Mid-term Customer,1,0,108007.36,47125.11,Low Salary,High Risk,0,0
Spain,Male,Under 30,Medium,High Balance,New Customer,1,0,133702.89,55582.54,Medium Salary,High Risk,133702.89,1
Germany,Male,30-45,Medium,High Balance,Long-term Customer,2,1,125189.75,139874.43,High Salary,Normal,0,0
Germany,Female,Under 30,High,High Balance,Mid-term Customer,1,0,113034.22,162503.48,High Salary,High Risk,113034.22,1
Spain,Female,30-45,Medium,High Balance,Long-term Customer,1,0,109013.23,196499.96,High Salary,High Risk,0,0
Germany,Male,Under 30,Medium,Low Balance,Long-term Customer,2,0,57929.81,53134.3,Medium Salary,Normal,0,0
France,Female,Under 30,Low,High Balance,Mid-term Customer,1,0,130114.39,164017.89,High Salary,High Risk,0,0
Germany,Male,Under 30,Medium,Low Balance,Mid-term Customer,2,0,95826.49,155996.96,High Salary,Normal,0,0
Germany,Male,30-45,Low,High Balance,Long-term Customer,1,0,129608.57,5472.7,Low Salary,High Risk,129608.57,1
France,Male,30-45,Medium,High Balance,Mid-term Customer,1,0,169462.09,112187.11,High Salary,High Risk,0,0
Spain,Female,30-45,Low,High Balance,Mid-term Customer,1,1,133868.21,27286.1,Low Salary,Normal,0,0
Germany,Male,30-45,Medium,High Balance,Mid-term Customer,2,0,190479.48,179351.89,High Salary,High Risk,0,0
Spain,Female,30-45,Medium,High Balance,Long-term Customer,1,1,101993.12,94774.12,Medium Salary,Normal,0,0
Germany,Female,46-60,High,High Balance,New Customer,1,0,161608.81,8080.85,Low Salary,High Risk,161608.81,1
Spain,Female,30-45,High,High Balance,New Customer,1,1,122311.21,19482.5,Low Salary,Normal,0,0
Germany,Female,30-45,High,High Balance,New Customer,2,0,162150.42,174531.27,High Salary,High Risk,0,0
France,Female,30-45,High,Low Balance,New Customer,1,0,99010.67,194945.8,High Salary,Normal,0,0
Germany,Female,30-45,Medium,High Balance,Mid-term Customer,2,0,111388.18,148564.76,High Salary,High Risk,0,0
France,Female,30-45,High,Low Balance,Long-term Customer,2,0,56214.85,92982.61,Medium Salary,Normal,56214.85,1
France,Female,30-45,Medium,Low Balance,New Customer,2,0,84327.77,17675.36,Low Salary,Normal,0,0
France,Male,30-45,Medium,Low Balance,Long-term Customer,1,0,93012.89,86957.42,Medium Salary,Normal,0,0
Spain,Male,Under 30,Medium,Low Balance,Long-term Customer,2,0,61710.44,128077.8,High Salary,Normal,0,0
France,Male,30-45,High,High Balance,New Customer,1,1,174790.15,600.36,Low Salary,Normal,0,0
Germany,Male,30-45,High,High Balance,New Customer,1,1,107720.64,158591.12,High Salary,Normal,0,0
France,Male,30-45,Medium,Low Balance,Mid-term Customer,1,0,96423.84,10488.44,Low Salary,Normal,0,0
Spain,Male,30-45,High,High Balance,New Customer,1,1,141040.01,5978.2,Low Salary,Normal,0,0
France,Male,30-45,High,High Balance,Mid-term Customer,1,1,105420.18,121409.06,High Salary,Normal,0,0
France,Female,30-45,High,High Balance,New Customer,2,1,129022.06,14374.86,Low Salary,Normal,129022.06,1
Spain,Male,30-45,Medium,High Balance,New Customer,1,0,176666.62,94670.77,Medium Salary,High Risk,0,0
Spain,Female,30-45,Medium,Low Balance,New Customer,1,0,89763.84,199304.74,High Salary,Normal,89763.84,1
France,Male,30-45,Medium,High Balance,Mid-term Customer,1,1,134954.53,151954.39,High Salary,Normal,0,0
France,Male,30-45,Medium,High Balance,New Customer,1,1,106376.85,158264.62,High Salary,Normal,0,0
Germany,Male,30-45,Medium,High Balance,New Customer,2,0,161814.64,169381.9,High Salary,High Risk,0,0
France,Female,30-45,Medium,Low Balance,New Customer,1,1,63095.01,40645.81,Low Salary,Normal,0,0
Germany,Male,Under 30,Medium,High Balance,Mid-term Customer,2,0,118287.01,60427.3,Medium Salary,High Risk,0,0
Germany,Male,46-60,Medium,High Balance,Mid-term Customer,1,1,106854.21,157959.02,High Salary,Normal,106854.21,1
France,Male,46-60,Medium,Low Balance,Mid-term Customer,1,0,49512.55,133007.34,High Salary,Normal,0,0
France,Male,30-45,High,High Balance,New Customer,2,0,105799.32,34888.04,Low Salary,High Risk,105799.32,1
France,Female,30-45,High,High Balance,Long-term Customer,2,1,114722.05,98178.57,Medium Salary,Normal,0,0
Germany,Male,30-45,Medium,Low Balance,Mid-term Customer,1,1,99564.22,108872.45,High Salary,Normal,99564.22,1
France,Male,30-45,Medium,High Balance,Mid-term Customer,2,0,170557.91,198252.88,High Salary,High Risk,0,0
Germany,Female,30-45,Medium,Low Balance,Mid-term Customer,3,1,74596.15,85746.52,Medium Salary,Normal,74596.15,1
Germany,Male,46-60,High,Low Balance,New Customer,1,0,96888.39,77206.25,Medium Salary,Normal,96888.39,1
Germany,Female,Under 30,Medium,High Balance,New Customer,1,0,130830.22,61048.53,Medium Salary,High Risk,0,0
Germany,Male,Under 30,High,High Balance,New Customer,2,1,119714.25,150135.38,High Salary,Normal,0,0
France,Female,60+,Medium,High Balance,Mid-term Customer,2,1,113978.97,93146.11,Medium Salary,Normal,0,0
Germany,Male,30-45,High,High Balance,Mid-term Customer,1,0,100160.75,33462.94,Low Salary,High Risk,100160.75,1
Germany,Female,30-45,Medium,High Balance,New Customer,3,0,116220.5,55803.96,Medium Salary,High Risk,116220.5,1
France,Male,Under 30,High,Low Balance,New Customer,2,1,81173.83,162812.16,High Salary,Normal,0,0
Germany,Female,30-45,High,High Balance,Mid-term Customer,1,0,116803.8,124052.97,High Salary,High Risk,0,0
France,Male,30-45,High,High Balance,Long-term Customer,2,1,105961.68,74158.8,Medium Salary,Normal,0,0
Germany,Male,60+,Medium,High Balance,Mid-term Customer,1,1,117411.6,45071.09,Low Salary,Normal,117411.6,1
France,Female,30-45,Medium,High Balance,Long-term Customer,1,0,123497.58,131953.23,High Salary,High Risk,123497.58,1
Germany,Male,Under 30,High,High Balance,Mid-term Customer,2,0,152400.51,79414,Medium Salary,High Risk,0,0
Germany,Male,Under 30,Medium,High Balance,Long-term Customer,1,1,103097.85,157577.29,High Salary,Normal,0,0
Germany,Male,46-60,High,High Balance,Long-term Customer,1,0,126418.14,134420.75,High Salary,High Risk,126418.14,1
Germany,Female,30-45,High,Low Balance,Mid-term Customer,1,0,77846.9,99805.99,Medium Salary,Normal,0,0
Germany,Male,30-45,Medium,Low Balance,New Customer,1,1,79731.91,57558.95,Medium Salary,Normal,0,0
Germany,Female,30-45,Medium,Low Balance,Mid-term Customer,2,0,37266.67,156917.12,High Salary,Normal,0,0
France,Female,30-45,Medium,High Balance,Mid-term Customer,1,1,127992.25,50457.2,Medium Salary,Normal,0,0
Germany,Male,30-45,High,Low Balance,New Customer,1,1,54901.01,140075.55,High Salary,Normal,0,0
Germany,Male,30-45,High,High Balance,Long-term Customer,2,1,108748.08,65323.11,Medium Salary,Normal,0,0
Spain,Female,46-60,High,Low Balance,Mid-term Customer,1,0,99906.19,64323.24,Medium Salary,Normal,0,0
France,Female,30-45,Medium,High Balance,Mid-term Customer,2,0,184686.41,14956.44,Low Salary,High Risk,0,0
France,Female,Under 30,Medium,High Balance,New Customer,1,1,110654.02,111879.21,High Salary,Normal,0,0
Spain,Male,30-45,High,Low Balance,Long-term Customer,1,1,79019.8,18606.23,Low Salary,Normal,0,0
Spain,Female,30-45,Medium,Low Balance,Long-term Customer,1,0,99240.51,123137.01,High Salary,Normal,0,0
Germany,Female,30-45,High,Low Balance,Mid-term Customer,1,0,52436.2,161051.75,High Salary,Normal,0,0
Germany,Male,30-45,High,High Balance,New Customer,3,0,100337.96,48559.19,Low Salary,High Risk,100337.96,1
Germany,Female,30-45,High,High Balance,New Customer,2,1,149297.19,186339.74,High Salary,Normal,0,0
Germany,Male,Under 30,High,High Balance,Mid-term Customer,1,1,145605.44,93883.53,Medium Salary,Normal,0,0
France,Male,30-45,Medium,Low Balance,Mid-term Customer,1,1,84026.86,164255.69,High Salary,Normal,0,0
Germany,Male,30-45,Low,High Balance,Mid-term Customer,1,1,138718.92,47251.79,Low Salary,Normal,138718.92,1
France,Male,30-45,High,High Balance,Mid-term Customer,1,1,118274.71,25885.72,Low Salary,Normal,0,0
France,Female,Under 30,High,High Balance,Long-term Customer,2,1,174185.98,192633.85,High Salary,Normal,0,0
France,Male,30-45,Medium,High Balance,Mid-term Customer,2,0,113208.86,34577.36,Low Salary,High Risk,0,0
Spain,Male,Under 30,Medium,High Balance,Mid-term Customer,1,0,103907.28,161229.84,High Salary,High Risk,0,0
France,Female,30-45,Low,High Balance,Long-term Customer,1,0,119023.28,100816.29,High Salary,High Risk,0,0
Spain,Female,Under 30,High,High Balance,Mid-term Customer,1,1,166297.89,181694.44,High Salary,Normal,0,0
Germany,Male,30-45,High,Low Balance,Long-term Customer,1,1,63227,137316.32,High Salary,Normal,0,0
Spain,Female,30-45,High,Low Balance,Mid-term Customer,2,0,94521.17,194926.86,High Salary,Normal,0,0
Spain,Female,30-45,High,High Balance,Long-term Customer,1,0,112822.26,150401.53,High Salary,High Risk,112822.26,1
France,Male,Under 30,High,High Balance,New Customer,1,0,135903.33,73656.38,Medium Salary,High Risk,0,0
France,Female,30-45,High,High Balance,Mid-term Customer,1,1,125169.26,106636.89,High Salary,Normal,0,0
France,Male,46-60,Medium,High Balance,New Customer,1,1,149117.31,162599.51,High Salary,Normal,0,0
Spain,Female,30-45,Medium,High Balance,Mid-term Customer,1,0,132311.71,15462.84,Low Salary,High Risk,0,0
France,Male,30-45,Medium,High Balance,Mid-term Customer,1,0,118082.89,94440.45,Medium Salary,High Risk,0,0
France,Male,30-45,Medium,High Balance,New Customer,1,1,119266.69,28257.63,Low Salary,Normal,0,0
Germany,Male,30-45,Medium,High Balance,Mid-term Customer,2,0,156847.29,31824.29,Low Salary,High Risk,0,0
France,Male,46-60,Medium,High Balance,Mid-term Customer,1,0,137104.47,127166.49,High Salary,High Risk,137104.47,1
Germany,Male,30-45,Low,Low Balance,Long-term Customer,1,0,78398.69,44937.01,Low Salary,Normal,0,0
Germany,Male,30-45,High,Low Balance,Mid-term Customer,1,0,63669.42,145111.37,High Salary,Normal,0,0
Germany,Female,46-60,High,High Balance,New Customer,1,0,135296.33,182822.5,High Salary,High Risk,0,0
Spain,Male,30-45,High,High Balance,New Customer,1,1,153804.44,87213.33,Medium Salary,Normal,0,0
France,Male,46-60,Medium,High Balance,New Customer,1,0,147069.78,120540.83,High Salary,High Risk,147069.78,1
France,Male,Under 30,Low,Low Balance,Mid-term Customer,1,0,95741.75,46170.75,Low Salary,Normal,0,0
Spain,Female,46-60,Medium,High Balance,New Customer,1,1,145965.33,64448.36,Medium Salary,Normal,0,0
France,Female,30-45,Medium,High Balance,Long-term Customer,1,1,141441.75,16278.97,Low Salary,Normal,0,0
France,Male,30-45,High,High Balance,New Customer,1,0,139290.41,182855.42,High Salary,High Risk,139290.41,1
France,Male,30-45,High,High Balance,Mid-term Customer,1,0,144428.87,134132.65,High Salary,High Risk,0,0
France,Female,46-60,Medium,Low Balance,Long-term Customer,1,0,95441.27,108761.05,High Salary,Normal,95441.27,1
Germany,Male,30-45,Medium,High Balance,New Customer,1,1,144848.74,179012.3,High Salary,Normal,0,0
Germany,Male,Under 30,Medium,High Balance,Mid-term Customer,2,1,116244.14,95145.14,Medium Salary,Normal,0,0
Spain,Female,30-45,Medium,High Balance,New Customer,1,0,146502.07,19162.89,Low Salary,High Risk,0,0
Germany,Male,30-45,Medium,High Balance,New Customer,2,1,117028.6,144680.18,High Salary,Normal,0,0
Germany,Female,30-45,Medium,High Balance,Long-term Customer,1,0,112013.81,177772.03,High Salary,High Risk,112013.81,1
Spain,Female,30-45,Medium,High Balance,Mid-term Customer,1,0,108269.37,5597.94,Low Salary,High Risk,0,0
France,Male,Under 30,Low,High Balance,Mid-term Customer,1,0,182123.79,116828.51,High Salary,High Risk,182123.79,1
Germany,Female,30-45,Medium,High Balance,New Customer,2,1,150923.74,174652.51,High Salary,Normal,0,0
Spain,Female,30-45,High,High Balance,Mid-term Customer,1,0,165272.13,14109.85,Low Salary,High Risk,165272.13,1
Germany,Female,30-45,High,High Balance,Long-term Customer,1,0,115301.31,43527.4,Low Salary,High Risk,115301.31,1
Germany,Female,30-45,Medium,High Balance,Mid-term Customer,2,1,129502.49,86099.23,Medium Salary,Normal,129502.49,1
France,Male,30-45,Medium,High Balance,Mid-term Customer,1,0,118342.26,161574.19,High Salary,High Risk,0,0
Germany,Female,30-45,Medium,High Balance,Long-term Customer,2,0,106937.05,138275.01,High Salary,High Risk,0,0
Germany,Male,46-60,Medium,High Balance,New Customer,1,1,170331.37,32171.79,Low Salary,Normal,0,0
Germany,Female,30-45,Medium,High Balance,New Customer,1,1,114510.85,126143.23,High Salary,Normal,0,0
Spain,Male,30-45,Medium,High Balance,New Customer,2,1,107594.11,102416.84,High Salary,Normal,0,0
Spain,Male,30-45,High,Low Balance,New Customer,1,1,81273.13,18719.67,Low Salary,Normal,0,0
Spain,Female,30-45,Medium,High Balance,Mid-term Customer,1,0,169399.6,61936.22,Medium Salary,High Risk,0,0
France,Female,30-45,Medium,High Balance,New Customer,2,1,187841.99,147224.27,High Salary,Normal,0,0
Spain,Female,46-60,High,High Balance,Long-term Customer,2,1,126776.3,132298.49,High Salary,Normal,0,0
Spain,Male,30-45,Medium,High Balance,Long-term Customer,1,0,126436.29,174248.52,High Salary,High Risk,126436.29,1
France,Male,30-45,High,High Balance,New Customer,1,1,101960.74,123547.28,High Salary,Normal,0,0
Germany,Female,30-45,Medium,High Balance,New Customer,1,1,150842.93,2319.96,Low Salary,Normal,150842.93,1
France,Female,46-60,Medium,High Balance,Long-term Customer,1,1,102535.57,189543.19,High Salary,Normal,0,0
Germany,Female,Under 30,Low,Low Balance,Long-term Customer,2,0,99027.61,10940.4,Low Salary,Normal,0,0
Germany,Female,30-45,Medium,Low Balance,Long-term Customer,2,0,87271.41,172572.64,High Salary,Normal,0,0
Germany,Female,30-45,Low,High Balance,Long-term Customer,2,1,102742.91,189339.6,High Salary,Normal,0,0
Germany,Male,30-45,Medium,Low Balance,New Customer,2,1,40105.51,53512.16,Medium Salary,Normal,0,0
France,Female,Under 30,Medium,High Balance,New Customer,1,0,152265.43,34004.44,Low Salary,High Risk,0,0
Spain,Male,30-45,High,High Balance,Mid-term Customer,1,1,141947.67,10598.29,Low Salary,Normal,0,0
Germany,Female,60+,Medium,High Balance,New Customer,2,1,106307.91,113428.77,High Salary,Normal,0,0
Germany,Male,30-45,Medium,High Balance,New Customer,2,1,107884.81,183487.98,High Salary,Normal,0,0
Germany,Male,30-45,High,High Balance,New Customer,1,1,125013.72,187658.09,High Salary,Normal,0,0
Germany,Male,30-45,High,Low Balance,Mid-term Customer,2,1,58469.37,172459.39,High Salary,Normal,0,0
Germany,Male,30-45,High,High Balance,Long-term Customer,3,1,117231.63,122381.02,High Salary,Normal,117231.63,1
Spain,Male,30-45,Medium,High Balance,Mid-term Customer,1,0,152390.26,128123.66,High Salary,High Risk,0,0
Spain,Female,30-45,Medium,Low Balance,New Customer,1,0,34013.63,19570.63,Low Salary,Normal,0,0
France,Male,30-45,Medium,High Balance,Mid-term Customer,2,0,101583.11,123775.15,High Salary,High Risk,0,0
Germany,Female,30-45,Low,Low Balance,Long-term Customer,2,1,77168.87,146700.22,High Salary,Normal,0,0
Germany,Male,Under 30,High,High Balance,Long-term Customer,2,0,124695.72,145251.35,High Salary,High Risk,0,0
Germany,Male,30-45,High,High Balance,New Customer,1,0,105934.96,82463.69,Medium Salary,High Risk,0,0
France,Female,Under 30,Medium,High Balance,Long-term Customer,2,0,161525.96,9262.77,Low Salary,High Risk,0,0
Germany,Female,Under 30,High,High Balance,Mid-term Customer,1,1,147199.07,84932.4,Medium Salary,Normal,0,0
Germany,Male,30-45,High,High Balance,New Customer,1,1,183102.29,71557.12,Medium Salary,Normal,0,0
Spain,Male,46-60,Medium,High Balance,Long-term Customer,2,0,127209,77405.95,Medium Salary,High Risk,127209,1
Spain,Female,Under 30,Medium,Low Balance,New Customer,1,1,97378.54,71405.17,Medium Salary,Normal,0,0
Germany,Female,30-45,Medium,High Balance,New Customer,2,1,136925.09,153400.24,High Salary,Normal,0,0
France,Male,30-45,Medium,Low Balance,New Customer,1,1,54503.55,371.05,Low Salary,Normal,0,0
Germany,Male,30-45,Medium,High Balance,Long-term Customer,1,0,155726.85,67789.99,Medium Salary,High Risk,0,0
France,Female,60+,Medium,High Balance,New Customer,1,0,135842.41,183840.51,High Salary,High Risk,135842.41,1
